lca_class,level,n_wtd,pct,demographic,form,chi2,chi2_p
2,Black non-Hispanic,212.03722935963478,10.673561470608847,race,B,21.154699715984936,0.005997001499250375
2,Hispanic,310.86124845773327,15.648179587444977,race,B,21.154699715984936,0.005997001499250375
2,Other non-Hispanic,86.17235726706767,4.337756888896646,race,B,21.154699715984936,0.005997001499250375
2,Asian non-Hispanic,118.65058860565895,5.972650910555191,race,B,21.154699715984936,0.005997001499250375
3,White non-Hispanic,368.5786911527162,64.67140017464446,race,B,21.154699715984936,0.005997001499250375
3,Black non-Hispanic,53.28809265948529,9.350013030181413,race,B,21.154699715984936,0.005997001499250375
3,Hispanic,101.49839396404069,17.80906875707706,race,B,21.154699715984936,0.005997001499250375
3,Other non-Hispanic,15.940017435952234,2.7968606735437973,race,B,21.154699715984936,0.005997001499250375
3,Asian non-Hispanic,30.62013523893731,5.372657364553274,race,B,21.154699715984936,0.005997001499250375
1,Male,1235.0557187315271,48.76196016900729,gender,B,35.974329816877365,4.997501249375312e-4
1,Female,1283.7793922293902,50.685648137377385,gender,B,35.974329816877365,4.997501249375312e-4
1,Other,13.991121723056136,0.552391693615321,gender,B,35.974329816877365,4.997501249375312e-4
2,Male,1021.1841170801947,50.78377232799567,gender,B,35.974329816877365,4.997501249375312e-4
2,Female,975.5316161631225,48.513460663332225,gender,B,35.974329816877365,4.997501249375312e-4
2,Other,14.131571452172304,0.7027670086721132,gender,B,35.974329816877365,4.997501249375312e-4
3,Male,247.44268651385474,42.66051973498047,gender,B,35.974329816877365,4.997501249375312e-4
3,Female,317.900275421783,54.807806868146635,gender,B,35.974329816877365,4.997501249375312e-4
3,Other,14.684398375583296,2.531673396872898,gender,B,35.974329816877365,4.997501249375312e-4
1,Rep/Lean Rep,1176.8009499373,46.39577565900374,party,B,52.34214294429263,4.997501249375312e-4
1,Dem/Lean Dem,1359.638916024776,53.60422434099627,party,B,52.34214294429263,4.997501249375312e-4
2,Rep/Lean Rep,985.8751981938823,48.91425913368004,party,B,52.34214294429263,4.997501249375312e-4
2,Dem/Lean Dem,1029.6417812201128,51.08574086631995,party,B,52.34214294429263,4.997501249375312e-4
3,Rep/Lean Rep,360.7053067793296,62.17264963409483,party,B,52.34214294429263,4.997501249375312e-4
3,Dem/Lean Dem,219.46187107490573,37.82735036590516,party,B,52.34214294429263,4.997501249375312e-4
